Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
158,2025-06-08,2867,NMB50,NMB 50,10.71,10.92,10.7,10.92,6400,68806,10.5,12.54,9.44,2025-06-08T13:17:02.2916,10.92,7,10.75,1365
159,2025-06-08,2877,SFMF,Sunrise First Mutual Fund,10.38,10.41,10.21,10.22,24600,251586,10.59,11.99,9.22,2025-06-08T14:58:57.852564,10.22,8,10.22,878.92
160,2025-06-08,2880,HDHPC,Himal Dolakha Hydropower Company Limited,202,202,199.7,200,97955,19641786.8,200.47,273,123.3,2025-06-08T14:59:49.071112,200,343,200.51,5600
161,2025-06-08,2881,NRIC,Nepal Reinsurance Company Limited,1208,1235.1,1208,1217.38,54882,67047012.1,1232.04,1389.9,630.1,2025-06-08T14:59:36.63702,1220,412,1221.65,163399.02
162,2025-06-08,2882,ICFCD83,12% ICFC Finance Limited Debenture 2083,1200,1200,1200,1200,25,30000,1202,1325,1156.4,2025-06-08T13:08:25.150596,1200,1,1200,240
163,2025-06-08,2886,ADBLD83,10.35% Agricultural Bank Debenture 2083,1090,1100,1078.2,1078.15,285,312813,1080,1160,1046,2025-06-08T14:47:57.818661,1078.2,8,1097.58,2695.38
164,2025-06-08,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,606,617,606,608.82,5659,3447368.5,611.68,907,606,2025-06-08T14:59:20.09198,610,133,609.18,10590.06
165,2025-06-08,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,926,944.5,900,902.53,5901,5374715.3,926.45,1470.8,826,2025-06-08T14:58:40.969041,918,97,910.81,6325.46
166,2025-06-08,2898,NRN,NRN Infrastructure and Development Limited,1950,2060,1950,1970.78,146011,293761403.2,1980.1,2159,603,2025-06-08T14:59:59.773797,1988,622,2011.91,25312.15
167,2025-06-08,2902,LUK,Laxmi Unnati Kosh,9.97,10.05,9.86,9.94,4800,47925,9.78,10.4,8.16,2025-06-08T14:41:08.265587,9.94,8,9.98,648.71
168,2025-06-08,2903,LEC,Liberty Energy Company Limited,210.8,212.9,210,210.49,112718,23755722.8,210.67,344,175.1,2025-06-08T14:59:37.007202,210.5,324,210.75,4736.02
169,2025-06-08,2907,SSHL,Shiva Shree Hydropower Ltd,230,230.9,227.1,228.14,48403,11060495.9,227.59,281.1,158.1,2025-06-08T14:59:40.280107,228.2,181,228.5,3368.26
170,2025-06-08,2908,SGIC,Sanima GIC Insurance Limited,550,550,545,545.31,10736,5865016.4,549.44,817.1,516,2025-06-08T14:53:09.220694,545,153,546.29,11724.16
171,2025-06-08,2913,MEN,Mountain Energy Nepal Limited,569,596,569,577.28,85384,49517902.4,579.82,809.5,552.4,2025-06-08T14:59:38.175582,578,368,579.94,15024.96
172,2025-06-08,2914,UMRH,United IDI Mardi RB Hydropower Limited.,558.6,560,549.1,552.52,19106,10561570.7,558.57,790,363.3,2025-06-08T14:59:25.575449,552,90,552.78,2546.14
173,2025-06-08,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,510,510,495.2,499.3,4197,2097117.2,500.4,732.2,477.1,2025-06-08T14:59:52.213539,500,133,499.67,25482.51
174,2025-06-08,2917,CGH,Chandragiri Hills Limited,899,918,896,901.47,68736,62155036.8,898.91,1360,833,2025-06-08T14:59:56.266222,901,458,904.25,13829.37
175,2025-06-08,2919,NIFRA,Nepal Infrastructure Bank Limited,284,284,278,278.74,240691,67316206.5,281.19,366.6,188.1,2025-06-08T14:59:53.334237,279,907,279.67,60207.84
176,2025-06-08,2923,SLCF,Sanima Large Cap Fund,9.61,9.86,9.61,9.83,71310,700535.3,9.75,10.6,7.84,2025-06-08T14:52:33.382642,9.83,25,9.82,1179.6
177,2025-06-08,2924,GLH,GreenLife Hydropower Limited,252,256,245.1,251.24,71796,18150769.5,247.15,336,196,2025-06-08T14:59:36.93777,251.5,339,252.81,4522.32
178,2025-06-08,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,2198,2235,2180,2216.07,1375,3018178.3,2198,2648.7,1836,2025-06-08T14:58:12.031544,2225,37,2195.03,4821.34
179,2025-06-08,2931,NIBD84,8.5% Nepal Investment Bank Debenture 2084,1047,1050,1047,1050,50,52425,1045,1077,943,2025-06-08T14:59:01.747702,1050,2,1048.5,4200
180,2025-06-08,2933,KEF,Kumari Equity Fund,9.3,9.35,9.02,9.04,11050,102343.5,9.21,10.76,7.91,2025-06-08T14:40:23.965536,9.04,18,9.26,904
181,2025-06-08,2934,SHEL,Singati Hydro Energy Limited,273,277.9,270,274.25,284770,78296909.25,270.55,334.4,151.5,2025-06-08T14:59:59.600329,274.7,894,274.94,7953.25
182,2025-06-08,2935,RURU,Ru Ru Jalbidhyut Pariyojana Limited,690,699,685.1,689.92,8995,6203167.8,687.51,926.8,607.3,2025-06-08T14:59:41.762889,692,71,689.62,3914.07
183,2025-06-08,2937,SBCF,Sunrise Bluechip Fund,9.5,9.57,9.5,9.56,26370,252076.4,9.59,10.04,7.7,2025-06-08T14:55:06.554874,9.57,13,9.55,1195
184,2025-06-08,3946,CHDC,CEDB Holdings Limited,2510,2580,2505,2571.05,69324,175987583.9,2510.3,2730,970,2025-06-08T14:59:33.553451,2562,601,2538.62,26590.75
185,2025-06-08,4947,PSF,Prabhu Select Fund,10.82,10.9,10.76,10.81,13300,144606,10.87,11.1,8.62,2025-06-08T14:50:46.582421,10.81,26,10.87,1351.25
186,2025-06-08,4948,KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,1100,1100,1100,1100,25,27500,1094,1110,980,2025-06-08T14:48:45.177029,1100,1,1100,1100
187,2025-06-08,4949,NIBSF2,NIBL Samriddhi Fund -2,8.11,8.42,8.11,8.42,5550,45849,8.26,9.6,7.53,2025-06-08T13:59:06.130913,8.42,18,8.26,1263
